,frame_id,id,x1,y1,w,h,cls,last_move_pixel,exist_time
0,2,1,1788.0,457.0,131.0,101.0,car,0.0,0.0
1,2,7,369.0,380.0,198.0,235.0,car,0.0,0.0
2,2,4,1617.0,344.0,93.0,95.0,car,0.0,0.0
3,2,5,831.0,271.0,97.0,70.0,car,0.0,0.0
4,2,3,1686.0,406.0,117.0,96.0,car,0.0,0.0
5,2,9,924.0,57.0,56.0,76.0,car,0.0,0.0
6,2,8,368.0,379.0,200.0,236.0,car,0.0,0.0
7,2,2,683.0,350.0,113.0,87.0,car,0.0,0.0
8,2,6,173.0,462.0,116.0,104.0,car,0.0,0.0
9,3,7,369.0,380.0,198.0,235.0,car,0.0,1.0
10,3,6,173.0,462.0,116.0,104.0,car,0.0,1.0
11,3,4,1617.0,344.0,93.0,95.0,car,0.0,1.0
12,3,5,831.0,271.0,97.0,70.0,car,0.0,1.0
13,3,9,924.0,57.0,56.0,76.0,car,0.0,1.0
14,3,2,683.0,350.0,113.0,87.0,car,0.0,1.0
15,3,8,368.0,380.0,200.0,235.0,car,0.5,1.0
16,3,3,1686.0,406.0,117.0,96.0,car,0.0,1.0
17,3,1,1788.0,457.0,131.0,101.0,car,0.0,1.0
18,4,5,831.0,271.0,97.0,70.0,car,0.0,2.0
19,4,6,173.0,462.0,116.0,104.0,car,0.0,2.0
20,4,1,1788.0,457.0,131.0,101.0,car,0.0,2.0
21,4,8,368.0,380.0,200.0,235.0,car,0.0,2.0
22,4,7,369.0,380.0,198.0,235.0,car,0.0,2.0
23,4,9,924.0,57.0,55.0,76.0,car,0.5,2.0
24,4,4,1617.0,344.0,93.0,95.0,car,0.0,2.0
25,4,2,683.0,350.0,113.0,87.0,car,0.0,2.0
26,4,3,1686.0,406.0,117.0,96.0,car,0.0,2.0
27,5,8,368.0,380.0,200.0,235.0,car,0.0,3.0
28,5,4,1616.0,344.0,94.0,95.0,car,0.5,3.0
29,5,2,683.0,350.0,112.0,86.0,car,0.7071067811865476,3.0
30,5,5,831.0,271.0,97.0,70.0,car,0.0,3.0
31,5,1,1788.0,457.0,131.0,100.0,car,0.5,3.0
32,5,7,369.0,379.0,199.0,236.0,car,0.7071067811865476,3.0
33,5,9,924.0,57.0,55.0,76.0,car,0.0,3.0
34,5,6,172.0,462.0,116.0,104.0,car,1.0,3.0
35,5,3,1686.0,406.0,117.0,96.0,car,0.0,3.0
36,6,2,683.0,351.0,113.0,87.0,car,1.5811388300841898,4.0
37,6,7,368.0,379.0,200.0,239.0,car,1.5811388300841898,4.0
38,6,8,367.0,380.0,202.0,236.0,car,0.5,4.0
39,6,6,172.0,462.0,116.0,104.0,car,0.0,4.0
40,6,4,1616.0,344.0,94.0,95.0,car,0.0,4.0
41,6,1,1789.0,457.0,129.0,100.0,car,0.0,4.0
42,6,9,923.0,58.0,55.0,75.0,car,1.118033988749895,4.0
43,6,3,1686.0,406.0,117.0,96.0,car,0.0,4.0
44,6,5,831.0,273.0,97.0,70.0,car,2.0,4.0
45,7,7,367.0,379.0,201.0,239.0,car,0.5,5.0
46,7,1,1788.0,457.0,131.0,100.0,car,0.0,5.0
47,7,9,923.0,58.0,55.0,75.0,car,0.0,5.0
48,7,3,1686.0,406.0,117.0,96.0,car,0.0,5.0
49,7,8,367.0,380.0,202.0,236.0,car,0.0,5.0
50,7,4,1616.0,344.0,94.0,95.0,car,0.0,5.0
51,7,2,682.0,351.0,114.0,88.0,car,0.7071067811865476,5.0
52,7,6,172.0,462.0,116.0,104.0,car,0.0,5.0
53,7,5,831.0,273.0,98.0,70.0,car,0.5,5.0
54,8,3,1686.0,406.0,117.0,96.0,car,0.0,6.0
55,8,10,1878.0,885.0,37.0,123.0,car,0.0,0.0
56,8,6,172.0,462.0,116.0,104.0,car,0.0,6.0
57,8,8,365.0,380.0,204.0,239.0,car,1.8027756377319946,6.0
58,8,2,681.0,352.0,115.0,88.0,car,1.118033988749895,6.0
59,8,5,832.0,274.0,98.0,70.0,car,1.4142135623730951,6.0
60,8,4,1616.0,344.0,94.0,95.0,car,0.0,6.0
61,8,1,1788.0,457.0,131.0,100.0,car,0.0,6.0
62,8,9,923.0,58.0,55.0,74.0,car,0.5,6.0
63,8,7,366.0,379.0,202.0,240.0,car,0.7071067811865476,6.0
64,9,2,681.0,353.0,115.0,88.0,car,1.0,7.0
65,9,3,1686.0,406.0,117.0,96.0,car,0.0,7.0
66,9,1,1788.0,457.0,131.0,100.0,car,0.0,7.0
67,9,10,1877.0,881.0,37.0,124.0,car,3.640054944640259,1.0
68,9,7,365.0,380.0,203.0,239.0,car,0.7071067811865476,7.0
69,9,4,1616.0,344.0,94.0,95.0,car,0.0,7.0
70,9,8,364.0,380.0,205.0,240.0,car,0.7071067811865476,7.0
71,9,5,833.0,275.0,97.0,70.0,car,1.118033988749895,7.0
72,9,9,923.0,58.0,55.0,74.0,car,0.0,7.0
73,9,6,172.0,462.0,115.0,103.0,car,0.7071067811865476,7.0
74,10,5,832.0,275.0,99.0,71.0,car,0.5,8.0
75,10,1,1788.0,458.0,131.0,98.0,car,0.0,8.0
76,10,7,364.0,380.0,203.0,240.0,car,1.118033988749895,8.0
77,10,9,922.0,58.0,55.0,73.0,car,1.118033988749895,8.0
78,10,4,1617.0,344.0,93.0,95.0,car,0.5,8.0
79,10,8,364.0,380.0,204.0,241.0,car,0.7071067811865476,8.0
80,10,2,681.0,353.0,115.0,89.0,car,0.5,8.0
81,10,3,1686.0,406.0,117.0,96.0,car,0.0,8.0
82,10,10,1869.0,862.0,44.0,143.0,car,10.51189802081432,2.0
83,10,6,172.0,462.0,115.0,103.0,car,0.0,8.0
